id,name,highway,oneway,defect_class,severity,tiger_reviewed,tiger_cfcc,tiger_name_base,surface,lanes,maxspeed
19071745,3rd Street,residential,yes,AB,CRITICAL,no,A41,3rd,,,
68521687,3rd Street,residential,yes,AB,CRITICAL,no,A41,3rd,,,
553022397,3rd Street,residential,yes,AB,CRITICAL,no,A41,3rd,,2,
235529901,Barrow Avenue,residential,yes,AB,CRITICAL,no,A41,Barrow,asphalt,,
1389227566,Barrow Avenue,residential,yes,AB,CRITICAL,no,A41,Barrow,asphalt,2,
19053528,Bunker Hill Lane,residential,yes,A,CRITICAL,no,A41,Bunker Hill,,1,
39459578,Calvert Street,residential,yes,AB,CRITICAL,no,A41,Calvert,asphalt,,
19063207,Carpenters Green Lane,residential,yes,AB,CRITICAL,no,A41,Carpenters Green,,,
112260554,Carpenters Green Lane,residential,yes,AB,CRITICAL,no,A41,Carpenters Green,,,
570461768,Charles Field Lane,residential,yes,AB,CRITICAL,no,A41,Charles Field,,,
570461769,Charles Field Lane,residential,yes,AB,CRITICAL,no,A41,Charles Field,,,
19056293,Chimney Hill Drive,residential,yes,AB,CRITICAL,no,A41,Chimney Hill,,,
110360839,Chimney Hill Drive,residential,yes,AB,CRITICAL,no,A41,Chimney Hill,,,
19063684,Darnell Avenue,residential,yes,AB,CRITICAL,no,A41,Darnell,,,
919619938,Darnell Avenue,residential,yes,AB,CRITICAL,no,A41,Darnell,,2,
19067472,Deercross Parkway,residential,yes,AB,CRITICAL,no,A41,Deercross,,,
372671754,Deercross Parkway,residential,yes,AB,CRITICAL,no,A41,Deercross,,,
549137198,Donna Lane,residential,yes,AB,CRITICAL,no,A41,Donna,,,
639571171,Donna Lane,residential,yes,AB,CRITICAL,no,A41,Donna,,,
19070414,Ebersole Avenue,residential,yes,AB,CRITICAL,no,A41,Ebersole,,,
33112514,Fox Run Drive,residential,yes,AB,CRITICAL,no,A41,Fox Run,,,
33112530,Fox Run Drive,residential,yes,AB,CRITICAL,no,A41,Fox Run,,,
372828325,Fox Run Drive,residential,yes,AB,CRITICAL,no,A41,Fox Run,,,
372828327,Fox Run Drive,residential,yes,AB,CRITICAL,no,A41,Fox Run,,,
19052847,Foxchase Lane,residential,yes,AB,CRITICAL,no,A41,Foxchase,,,
75212124,Foxchase Lane,residential,yes,AB,CRITICAL,no,A41,Foxchase,,,
19052960,Hoffman Avenue,residential,yes,A,CRITICAL,no,A41,Hoffman,,,
570549230,Hosbrook Road,residential,yes,AB,CRITICAL,no,A41,Hosbrook,,,25 mph
570549234,Hosbrook Road,residential,yes,AB,CRITICAL,no,A41,Hosbrook,,,25 mph
19069547,Hunters Creek Drive,residential,yes,AB,CRITICAL,no,A41,Hunters Creek,,,
372939675,Hunters Creek Drive,residential,yes,AB,CRITICAL,no,A41,Hunters Creek,,,
19058699,Indiancreek Road,residential,yes,AB,CRITICAL,no,A41,Indiancreek,,,
322843816,Indiancreek Road,residential,yes,AB,CRITICAL,no,A41,Indiancreek,,,
1173863210,Indiancreek Road,residential,yes,AB,CRITICAL,no,A41,Indiancreek,,,
1173863212,Indiancreek Road,residential,yes,AB,CRITICAL,no,A41,Indiancreek,,,
19059646,Iuka Avenue,residential,yes,AB,CRITICAL,no,A41,Iuka,,,
32678646,Iuka Avenue,residential,yes,AB,CRITICAL,no,A41,Iuka,,,
553470734,Legacy Trace,residential,yes,AB,CRITICAL,no,A41,Legacy,,,
553470736,Legacy Trace,residential,yes,AB,CRITICAL,no,A41,Legacy,,,
552960808,Market Place Lane,residential,yes,AB,CRITICAL,no,A41,Market Place,,,
552960809,Market Place Lane,residential,yes,AB,CRITICAL,no,A41,Market Place,,,
121032375,Onondago Avenue,residential,yes,AB,CRITICAL,no,A41,,,,
19053366,O’Leary Avenue,residential,yes,AB,CRITICAL,no,A41,O Leary,,,
19063816,Railroad Avenue,residential,yes,AB,CRITICAL,no,A41,Railroad,asphalt,,
662102735,Ravenswalk Lane,residential,yes,AB,CRITICAL,no,A41,Ravenswalk,,,
80319606,Rollman Estate Drive,residential,yes,AB,CRITICAL,no,A41,Rollman Estate,,,
80319608,Rollman Estate Drive,residential,yes,AB,CRITICAL,no,A41,Rollman Estate,,,
19059031,Stonemeadow Lane,residential,yes,AB,CRITICAL,no,A41,Stonemeadow,,,
235610126,Stonemeadow Lane,residential,yes,AB,CRITICAL,no,A41,Stonemeadow,,,
19063956,Strathmore Drive,residential,yes,AB,CRITICAL,no,A41,Strathmore,,,25 mph
74288937,Strathmore Drive,residential,yes,AB,CRITICAL,no,A41,Strathmore,,,25 mph
737201322,Strathmore Drive,residential,yes,AB,CRITICAL,no,A41,Strathmore,,2,25 mph
19063548,Tulane Road,residential,yes,AB,CRITICAL,no,A41,Tulane,,,
741934350,Ward Street,residential,yes,AB,CRITICAL,no,A41,Ward,,,
570461725,Windridge Drive,residential,yes,AB,CRITICAL,no,A41,Windridge,,,
570461726,Windridge Drive,residential,yes,AB,CRITICAL,no,A41,Windridge,,,
288065052,Wyman Lane,residential,yes,AB,CRITICAL,no,A41,Wyman,,,
