id,name,highway,oneway,defect_class,severity,tiger_reviewed,tiger_cfcc,tiger_name_base,surface,lanes,maxspeed,_street_segments,_street_gap_count
19064108,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,,25 mph,71,30
28162996,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph,71,30
28162997,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph,71,30
292927566,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,,71,30
372939678,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph,71,30
372939680,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph,71,30
372939682,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph,71,30
431505208,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,4,25 mph,71,30
431505209,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph,71,30
431586091,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph,71,30
549080894,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph,71,30
549080895,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph,71,30
549080896,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph,71,30
549080899,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,4,25 mph,71,30
549080900,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph,71,30
549080907,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph,71,30
549080908,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph,71,30
549080909,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph,71,30
549080910,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph,71,30
549080911,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph,71,30
549080912,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph,71,30
549080916,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph,71,30
549080917,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph,71,30
549080918,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph,71,30
549080919,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph,71,30
549080920,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph,71,30
549080923,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph,71,30
549080924,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph,71,30
549080925,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph,71,30
549080926,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph,71,30
