id,name,highway,oneway,defect_class,severity,tiger_reviewed,tiger_cfcc,tiger_name_base,surface,lanes,maxspeed,_street_segments,_street_gap_count
18980069,Winton Road,tertiary,,B,HIGH,no,A41,Winton,,,,95,68
27919341,Winton Road,secondary,,B,HIGH,no,A41,Winton,asphalt,7,,95,68
27919344,Winton Road,secondary,,B,HIGH,no,A41,Winton,asphalt,7,,95,68
28066877,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,2,,95,68
28066878,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,2,40 mph,95,68
28066881,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,2,40 mph,95,68
32558676,Winton Road,tertiary,,B,HIGH,no,A41,Winton,,,,95,68
32558677,Winton Road,tertiary,,B,HIGH,no,A41,Winton,,,,95,68
53198182,Winton Road,secondary,,B,HIGH,no,A41,Winton,asphalt,7,,95,68
53198191,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,2,40 mph,95,68
53198475,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,2,40 mph,95,68
53198508,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,2,40 mph,95,68
53198511,Winton Road,secondary,,B,HIGH,no,A41,Winton,asphalt,5,,95,68
203568933,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,,4,,95,68
203568936,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,,4,,95,68
208936807,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,2,40 mph,95,68
208936809,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,,3,,95,68
532171214,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,4,,95,68
532171245,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,2,40 mph,95,68
532171247,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,3,,95,68
532171250,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,4,,95,68
532171253,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,3,,95,68
532171256,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,2,,95,68
532171259,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,4,40 mph,95,68
