id,name,highway,oneway,defect_class,severity,tiger_reviewed,tiger_cfcc,tiger_name_base,surface,lanes,maxspeed,_street_segments,_street_gap_count
27919341,Winton Road,secondary,,B,HIGH,no,A41,Winton,asphalt,7,,59,60
27919344,Winton Road,secondary,,B,HIGH,no,A41,Winton,asphalt,7,,59,60
28066877,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,2,,59,60
28066878,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,2,40 mph,59,60
28066880,Winton Road,secondary,,B,HIGH,no,A41,Winton,,,,59,60
28066881,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,2,40 mph,59,60
53198182,Winton Road,secondary,,B,HIGH,no,A41,Winton,asphalt,7,,59,60
53198191,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,2,40 mph,59,60
53198475,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,2,40 mph,59,60
53198508,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,2,40 mph,59,60
53198511,Winton Road,secondary,,B,HIGH,no,A41,Winton,asphalt,5,,59,60
208936807,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,2,40 mph,59,60
208936809,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,,3,,59,60
532171214,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,4,,59,60
532171245,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,2,40 mph,59,60
532171247,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,3,,59,60
532171250,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,4,,59,60
532171253,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,3,,59,60
532171256,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,2,,59,60
532171259,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,4,40 mph,59,60
532171260,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,3,,59,60
532171261,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,2,40 mph,59,60
532171262,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,3,40 mph,59,60
532171263,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,4,40 mph,59,60
532171269,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,2,40 mph,59,60
532171271,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,3,40 mph,59,60
532171272,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,3,40 mph,59,60
532171273,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,4,40 mph,59,60
532171279,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,2,40 mph,59,60
532171280,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,3,40 mph,59,60
532171281,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,3,40 mph,59,60
532171282,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,4,40 mph,59,60
532171284,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,3,40 mph,59,60
532171285,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,4,40 mph,59,60
532171286,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,4,40 mph,59,60
532171427,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,2,40 mph,59,60
532171428,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,3,40 mph,59,60
532171429,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,4,40 mph,59,60
532171430,Winton Road,secondary,yes,B,HIGH,no,A41,Winton,asphalt,2,40 mph,59,60
