id,name,highway,oneway,defect_class,severity,tiger_reviewed,tiger_cfcc,tiger_name_base,surface,lanes,maxspeed,_street_segments,_street_gap_count
19063562,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,4,35 mph,120,34
27669425,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,5,35 mph,120,34
27669426,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,5,,120,34
28162292,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,5,,120,34
28162293,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,6,,120,34
33655264,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,,120,34
33655265,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,3,,120,34
33655286,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,,120,34
33655297,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,,120,34
41935299,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,1,35 mph,120,34
79248283,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,,120,34
79248287,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,,120,34
372671723,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,3,35 mph,120,34
549116827,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,3,35 mph,120,34
549116830,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,,35 mph,120,34
549116833,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,,35 mph,120,34
549116834,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,3,35 mph,120,34
549116836,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,35 mph,120,34
549116837,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,1,35 mph,120,34
549116838,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,35 mph,120,34
549116839,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,3,35 mph,120,34
549116840,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,3,35 mph,120,34
549116841,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,35 mph,120,34
549116842,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,3,35 mph,120,34
549116843,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,35 mph,120,34
549116853,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,35 mph,120,34
549116862,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,35 mph,120,34
549116863,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,35 mph,120,34
549116868,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,3,35 mph,120,34
549116877,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,35 mph,120,34
553002807,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,3,35 mph,120,34
553002808,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,,35 mph,120,34
553002809,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,3,35 mph,120,34
553002810,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,3,35 mph,120,34
553002811,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,2,35 mph,120,34
553002812,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,3,35 mph,120,34
553002813,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,3,35 mph,120,34
553002814,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,3,35 mph,120,34
553002822,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,3,35 mph,120,34
553002823,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,3,35 mph,120,34
553002825,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,3,35 mph,120,34
553002838,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,35 mph,120,34
553002843,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,35 mph,120,34
553002847,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,35 mph,120,34
553002850,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,1,35 mph,120,34
553002852,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,3,35 mph,120,34
553002857,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,5,35 mph,120,34
553002862,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,5,35 mph,120,34
553002863,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,6,35 mph,120,34
553002864,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,6,35 mph,120,34
553002887,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,5,,120,34
553002890,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,5,,120,34
553002891,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,6,,120,34
553148241,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,4,,120,34
553148242,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,,120,34
553148243,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,,120,34
553148244,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,,120,34
553148245,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,,120,34
553148246,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,,120,34
553148247,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,,120,34
553148248,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,3,,120,34
553148250,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,,120,34
553148251,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,6,,120,34
553148252,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,7,,120,34
553148320,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,7,,120,34
553225449,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,5,35 mph,120,34
553225451,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,6,35 mph,120,34
553225452,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,6,35 mph,120,34
553225453,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,5,35 mph,120,34
553225454,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,35 mph,120,34
553225455,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,35 mph,120,34
553225465,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,5,35 mph,120,34
553225466,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,35 mph,120,34
553225467,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,35 mph,120,34
553225472,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,5,35 mph,120,34
553225478,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,35 mph,120,34
553225480,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,35 mph,120,34
553225483,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,5,35 mph,120,34
553225484,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,5,35 mph,120,34
553225485,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,5,35 mph,120,34
553225490,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,35 mph,120,34
553225491,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,35 mph,120,34
553225493,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,5,35 mph,120,34
553225494,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,4,35 mph,120,34
553225495,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,5,35 mph,120,34
553225498,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,5,35 mph,120,34
553225499,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,6,35 mph,120,34
553378390,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,6,35 mph,120,34
553378394,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,8,,120,34
553378397,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,7,35 mph,120,34
553378398,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,4,35 mph,120,34
553378399,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,5,35 mph,120,34
553378400,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,7,35 mph,120,34
553378403,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,6,35 mph,120,34
553378404,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,7,35 mph,120,34
553378410,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,5,35 mph,120,34
553378411,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,35 mph,120,34
553378412,Glendale Milford Road,secondary,yes,B,HIGH,no,A31,Glendale Milford,,2,35 mph,120,34
553378559,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,7,,120,34
705294795,Glendale Milford Road,secondary,,B,HIGH,no,A31,Glendale Milford,,,35 mph,120,34
